,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
82,sequence_51052,0,1,1,0,5,6,1,0,4,10,7,2,3,12,8,16,17,1,0,17,13,7,15,4,4,18,5,28
83,sequence_50988,0,1,1,0,5,5,6,6,5,6,10,10,12,14,10,9,7,14,13,20,15,13,22,9,15,14,26,19
84,sequence_32158,0,0,0,2,3,0,4,5,8,9,0,11,11,10,12,7,10,4,2,8,10,6,4,6,5,11,11,21
85,sequence_32180,0,0,3,4,2,3,0,1,2,2,5,1,2,5,3,0,2,2,4,2,2,22,4,6,2,24,4,5
86,sequence_51046,0,1,1,0,5,6,1,0,4,10,8,5,1,12,8,10,17,10,15,17,1,7,15,4,4,18,16,20
87,sequence_32181,0,0,0,2,3,0,4,4,8,9,4,4,11,10,6,5,4,6,12,9,10,22,4,6,5,11,4,8
88,sequence_32163,0,0,0,2,3,0,4,4,8,9,4,4,11,13,9,5,13,16,12,9,19,16,4,6,13,11,4,17
89,sequence_50980,0,1,1,0,5,6,1,0,4,10,8,5,3,12,15,10,17,10,0,17,20,20,15,16,20,1,7,0
90,sequence_50969,0,1,1,0,5,5,6,6,5,6,6,10,12,14,10,12,0,8,13,20,15,13,8,13,1,14,12,23
91,sequence_50996,0,1,1,0,5,6,1,0,6,1,8,5,3,12,14,9,17,5,17,16,20,20,15,16,6,16,15,16
92,sequence_50989,0,1,1,0,5,5,6,8,4,10,6,7,5,7,15,3,7,17,3,11,4,10,22,18,8,13,7,19
93,sequence_32150,0,0,3,4,2,3,0,1,2,9,5,1,2,2,3,0,13,2,4,15,2,14,0,2,2,24,19,17
94,sequence_51053,0,1,1,0,5,5,6,6,4,10,10,7,10,12,15,3,17,10,10,17,7,7,15,4,4,18,7,0
95,sequence_50966,0,1,1,3,1,1,3,3,7,10,9,5,1,0,8,10,3,1,15,16,1,15,17,15,20,1,16,12
96,sequence_32116,0,0,3,4,2,3,0,1,2,2,5,1,2,2,2,0,13,2,4,15,2,0,21,17,9,24,18,2
97,sequence_32159,0,0,3,4,2,3,0,1,2,2,5,9,2,10,6,0,4,6,9,6,2,3,0,12,5,5,2,5
98,sequence_32149,0,0,0,2,3,0,4,4,8,5,4,1,6,5,9,15,8,15,12,9,19,16,20,21,13,9,9,8
99,sequence_51133,1,2,2,1,0,4,7,7,9,8,11,6,4,11,5,6,6,11,11,10,0,17,19,11,10,23,0,15
100,sequence_51189,1,2,2,1,0,4,7,7,0,7,3,12,9,9,7,4,15,7,18,19,11,8,3,23,19,4,6,7
101,sequence_51167,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
102,sequence_51130,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
103,sequence_51186,1,2,2,1,4,2,5,2,3,0,2,3,13,3,11,2,14,0,6,4,16,4,12,10,14,17,20,6
104,sequence_51178,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
105,sequence_51158,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,17,12,10,3,21,14,22
106,sequence_51165,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,5,3,17,23,26
107,sequence_51176,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
108,sequence_51155,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
109,sequence_51162,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
110,sequence_51172,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
111,sequence_51195,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,3,3,4,2,10,21,25,3,24
112,sequence_51152,1,2,2,1,4,2,5,2,3,0,2,3,13,3,11,2,14,0,6,4,16,4,12,10,14,17,20,6
113,sequence_51177,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
114,sequence_51161,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
115,sequence_51166,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
116,sequence_51156,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
117,sequence_51180,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,1,12,3,4,12,0,3,17,23,22
118,sequence_51164,1,2,2,1,4,2,2,2,3,0,2,3,0,3,11,2,1,3,16,12,3,4,12,10,3,17,23,22
119,sequence_51194,1,2,2,1,4,2,2,2,3,0,2,3,0,3,13,2,1,3,16,3,3,4,2,10,21,25,3,24
120,sequence_51154,1,2,2,1,0,4,5,7,0,4,3,0,9,1,7,4,15,0,6,4,16,8,23,0,14,4,20,6
121,sequence_51188,1,2,2,1,0,4,7,7,9,7,11,12,7,9,7,4,15,7,8,13,14,18,6,7,7,7,6,13
122,sequence_51179,1,2,2,1,0,4,7,7,9,7,11,6,4,11,13,11,12,12,8,1,0,11,13,19,0,15,13,1
123,sequence_51127,1,2,2,1,0,4,5,7,9,8,11,6,13,6,5,14,14,0,6,4,16,17,2,10,14,21,14,6
124,sequence_51198,1,2,2,1,0,4,7,7,9,8,11,6,7,6,5,14,6,11,5,13,0,18,6,11,10,23,0,13
125,sequence_51160,1,2,2,1,4,2,2,2,3,8,2,3,0,3,11,2,1,3,16,12,3,17,12,10,3,21,14,22
126,sequence_51184,1,2,2,1,4,2,5,2,3,0,2,3,13,3,11,2,14,0,6,4,16,4,12,5,14,17,20,6
127,sequence_51129,1,2,2,1,4,2,5,2,3,4,2,0,0,1,1,2,9,3,16,12,3,2,2,5,3,2,3,26
128,sequence_51185,1,2,2,1,0,4,5,7,9,8,11,6,4,11,5,6,6,11,11,10,0,17,19,11,10,23,0,15
129,sequence_51128,1,2,2,1,0,4,5,7,0,4,11,6,13,11,5,14,6,0,6,4,16,2,2,5,14,2,20,26
130,sequence_51134,1,2,2,1,0,4,5,7,0,7,3,0,13,1,13,11,14,12,1,1,11,2,2,0,14,12,20,3
131,sequence_51135,1,2,2,1,0,4,5,7,0,4,3,0,13,1,13,2,14,0,1,4,8,2,2,0,14,12,17,3
132,sequence_51190,1,2,2,1,0,4,7,7,0,4,3,12,9,9,7,4,15,7,19,19,11,8,3,23,19,4,6,7
133,sequence_32134,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
134,sequence_32160,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
135,sequence_32110,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,5
136,sequence_32120,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
137,sequence_32142,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,15,9,2,17,14,14,2,18,0,27,25
138,sequence_32137,0,0,3,4,2,3,0,1,2,2,5,1,2,8,3,8,2,2,9,2,12,14,0,2,25,5,2,14
139,sequence_32123,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
140,sequence_32143,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
141,sequence_32139,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
142,sequence_32135,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
143,sequence_32176,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
