,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
159,sequence_51005,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
160,sequence_51010,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
161,sequence_51013,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
162,sequence_50991,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16
163,sequence_51043,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,26,26,26
164,sequence_51009,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
165,sequence_51031,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
166,sequence_51020,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
167,sequence_51034,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
168,sequence_51007,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
169,sequence_51026,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
170,sequence_32169,0,0,2,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,20,9,4,4,1
171,sequence_51000,0,2,0,1,0,1,0,8,8,8,8,8,3,3,1,0,17,17,17,17,17,17,8,8,8,8,8,8
172,sequence_32171,0,0,2,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,20,9,4,4,1
173,sequence_32170,0,0,2,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,20,9,4,4,1
174,sequence_32166,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,3,1,1,0,2,2,2,2,2
175,sequence_32179,0,0,2,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,20,9,4,4,1
